hotspot_id,hotspot_name,current_lat,current_lng,google_maps_reference_name,google_maps_reference_lat,google_maps_reference_lng,coordinate_purpose,distance_difference_m,status,risk_level,note,recommendation
pier2,駁二／棧貳庫／大港橋,22.619889,120.281722,駁二藝術特區大勇倉庫群／大港橋入口側,22.61995,120.2818,主要汽車抵達入口與港區步行節點,10,ok,low,目前座標接近駁二大勇倉庫群與大港橋步行動線，可服務駁二與棧貳庫周邊停車需求。,暫不建議修改；若未來拆成駁二、棧貳庫、大港橋三個入口，再分別設定座標。
yancheng,鹽埕區,22.62694,120.28806,捷運鹽埕埔站 1 號出口周邊,22.6269,120.2881,商圈中心與捷運站出口附近,6,ok,low,目前座標接近鹽埕埔站與鹽埕商圈核心，適合用於區域型停車搜尋。,暫不建議修改。
kaohsiung-music-center,高雄流行音樂中心,22.6178,120.2889,高雄流行音樂中心海風廣場／真愛碼頭側,22.6179,120.28895,場館主要抵達區與真愛碼頭側入口,12,ok,medium,目前座標接近高流主要活動區；高流園區範圍大且跨真愛碼頭與光榮碼頭，活動日仍可能因入口不同造成停車需求偏移。,暫不建議修改；大型活動頁可另行評估是否改用活動入口或主要停車場入口。
love-river,愛河,22.62486,120.28912,愛河親水公園／五福橋周邊,22.6248,120.28915,河岸觀光步行節點,7,ok,low,目前座標接近愛河親水公園與市區河岸核心，適合作為愛河附近停車搜尋點。,暫不建議修改。
kaohsiung-arena,高雄巨蛋／巨蛋商圈,22.66917,120.30194,高雄巨蛋主入口／漢神巨蛋側,22.66924,120.30193,場館主入口與商圈抵達點,8,ok,low,目前座標接近高雄巨蛋與漢神巨蛋主要停車需求區。,暫不建議修改。
xinkujiang-central-park,新堀江／中央公園,22.62364,120.30147,新堀江商圈入口／中央公園站周邊,22.6237,120.30135,商圈入口與捷運站出口附近,14,ok,medium,目前座標接近新堀江與中央公園站之間，能服務商圈停車需求；此區單行道與步行入口多，仍建議保留人工複查紀錄。,暫不建議修改。
dali-department-store,大立百貨,22.62251,120.29751,大立百貨本館,22.62253,120.29748,百貨主入口與商圈核心,4,ok,low,目前座標接近大立百貨本館，停車搜尋目的明確。,暫不建議修改。
hanshin-department-store,漢神百貨,22.61978,120.29605,漢神百貨本館,22.61975,120.2961,百貨主入口與商圈核心,6,ok,low,目前座標接近漢神百貨本館，停車搜尋目的明確。,暫不建議修改。
sanduo-shopping-district,三多商圈,22.6137,120.30448,三多商圈站／SOGO 周邊,22.61385,120.3046,商圈中心與捷運站出口附近,21,ok,low,目前座標接近三多商圈核心與捷運站周邊，適合一般汽車停車搜尋。,暫不建議修改。
dream-mall,夢時代購物中心,22.59515,120.30617,統一夢時代購物中心中華五路側,22.5952,120.3062,大型商場主要汽車抵達點,6,ok,medium,目前座標接近夢時代主要商場與中華五路側停車需求；夢時代基地大，但目前座標未偏離主要抵達區。,暫不建議修改；若未來針對活動或影城入口，可建立子目的地。
ruifeng-night-market,瑞豐夜市,22.66657,120.29962,瑞豐夜市南側入口／裕誠路周邊,22.6666,120.29965,夜市主要步行入口與周邊停車需求,5,ok,low,目前座標接近瑞豐夜市核心入口，符合汽車使用者搜尋附近停車場的目的。,暫不建議修改。
formosa-boulevard,美麗島站／六合夜市,22.63139,120.30195,六合夜市主入口（中山一路側）,22.63295,120.30105,夜市入口與捷運站周邊,197,needs_review,medium,目前座標較偏美麗島站，與六合夜市入口仍在可步行範圍內，但頁面名稱同時包含六合夜市，停車需求可能更偏夜市入口。,建議人工確認此頁主要服務美麗島站或六合夜市；若以六合夜市為主，考慮微調至六合夜市入口側。
weiwuying,衛武營國家藝術文化中心,22.62508,120.34267,衛武營國家藝術文化中心主要入口,22.62511,120.34264,場館主要入口與汽車抵達區,5,ok,medium,目前座標接近衛武營主要場館入口；園區範圍大，但未明顯偏離停車需求區。,暫不建議修改；大型活動可另行評估使用停車場入口。
cijin,旗津,22.61298,120.26841,旗津老街／旗津渡輪站前,22.61278,120.2683,旗津老街與渡輪站周邊主要抵達點,25,ok,medium,目前座標接近旗津老街與渡輪站周邊，可服務常見停車需求；旗津範圍較大，仍不代表整個旗津海岸。,暫不建議修改；若未來新增旗津海水浴場或旗津燈塔，應拆成獨立目的地。
xiziwan,西子灣,22.62187,120.26473,西子灣觀景平台／中山大學入口側,22.62409,120.26495,景點主要入口與汽車抵達側,248,needs_review,medium,目前座標較接近哈瑪星／渡船頭側，與西子灣觀景平台或中山大學入口側有一段距離；可能影響西子灣實際停車推薦。,建議人工確認目標是西子灣景點本身、哈瑪星，或鼓山渡輪站；若以西子灣為主，考慮調整至中山大學入口或西子灣觀景區側。
lotus-pond,蓮池潭,22.678695,120.29691,蓮池潭龍虎塔／春秋閣周邊,22.6811,120.2933,主要觀光停車需求點,457,needs_review,high,目前座標與龍虎塔／春秋閣主要觀光點差距約 457 公尺；蓮池潭範圍大，若座標偏非主要觀光入口，可能導致停車結果偏移。,建議優先人工複查；若頁面主要服務觀光客，建議改以龍虎塔、春秋閣或主要停車入口附近作為座標。
qishan-old-street,旗山老街,22.88573,120.48363,旗山老街主要街口,22.88575,120.48365,老街主要入口與汽車抵達點,3,ok,low,目前座標接近旗山老街主要街口，停車搜尋目的明確。,暫不建議修改。
